ortho	phon	lemme	cgram	genre	nombre	
écrabouillement	ekRabuj°m@	écrabouillement	NOM	m	s	
tournois	tuRnwa	tournoi	NOM	m	p	
macération	maseRasj§	macération	NOM	f	s	
expositions	Ekspozisj§	exposition	NOM	f	p	
fosses	fOs	fosse	NOM	f	p	
acumen	akymEn	acumen	NOM	m	s	
moraillon	moRaj§	moraillon	NOM	m	s	
papaver	papavER	papaver	NOM	m	s	
blanchet	bl@SE	blanchet	NOM	m	s	
conque	k§k	conque	NOM	f	s	
on-dit	§di	on-dit	NOM	m		
écaillure	ekajyR	écaillure	NOM	f	s	
leader	lid9R	leader	NOM	m	s	
mémés	meme	mémé	NOM	f	p	
baba	baba	baba	NOM	m	s	
transfo	tR@sfo	transfo	NOM	m	s	
hérésies	eRezi	hérésie	NOM	f	p	
pirouettes	piRwEt	pirouette	NOM	f	p	
alchimies	alSimi	alchimie	NOM	f	p	
belluaire	bEl8ER	belluaire	NOM	m	s	
hallucination	alysinasj§	hallucination	NOM	f	s	
mille	mil	mille	NOM	m		
maghrébins	magReb5	maghrébin	NOM	m	p	
apparat	apaRa	apparat	NOM	m	s	
soupe	sup	soupe	NOM	f	s	
apocalypses	apokalips	apocalypse	NOM	f	p	
peste	pEst	peste	NOM	f	s	
impatients	5pasj@	impatient	NOM	m	p	
gabegie	gabZi	gabegie	NOM	f	s	
syriens	siRj5	syrien	NOM	m	p	
alcade	alkad	alcade	NOM	m	s	
chloroquine	klOROkin	chloroquine	NOM	f	s	
tumuli	tymyli	tumulus	NOM	m	p	
cardigans	kaRdig@	cardigan	NOM	m	p	
conscription	k§skRipsj§	conscription	NOM	f	s	
nitroglycérine	nitRogliseRin	nitroglycérine	NOM	f	s	
strelitzia	stRElitsja	strelitzia	NOM	m	s	
verdoiement	vERdwam@	verdoiement	NOM	m	s	
coadjuteur	koadZyt9R	coadjuteur	NOM	m	s	
pédiatrie	pedjatRi	pédiatrie	NOM	f	s	
vicaire	vikER	vicaire	NOM	m	s	
protestantisme	pRotEst@tizm	protestantisme	NOM	m	s	
récré	RekRe	récré	NOM	f	s	
pare-boue	paRbu	pare-boue	NOM	m		
tatane	tatan	tatane	NOM	f	s	
traînes	tREn	traîne	NOM	f	p	
patiente	pasj@t	patient	NOM	f	s	
giboulée	Zibule	giboulée	NOM	f	s	
voleuse	vol2z	voleur	NOM	f	s	
haut-commissaire	okomisER	haut-commissaire	NOM	m	s	
déjeuner	deZ9ne	déjeuner	NOM	m	s	
cochenilles	kOSnil	cochenille	NOM	f	p	
magot	mago	magot	NOM	m	s	
ralbol	RalbOl	ralbol	NOM	m	s	
cervelet	sERv°lE	cervelet	NOM	m	s	
dû	dy	dû	NOM	m	s	
ancienne	@sjEn	ancien	NOM	f	s	
rétrovirus	RetRoviRys	rétrovirus	NOM	m		
dressage	dREsaZ	dressage	NOM	m	s	
menus	m°ny	menu	NOM	m	p	
optiques	Optik	optique	NOM	f	p	
rhodo	ROdO	rhodo	NOM	m	s	
court-circuits	kuRsiRk8i	court-circuits	NOM	m	s	
barjots	baRZo	barjot	NOM	m	p	
épanouissements	epanwis°m@	épanouissement	NOM	m	p	
brièveté	bRijEv°te	brièveté	NOM	f	s	
fitness	fitnEs	fitness	NOM	m		
dégonflard	deg§flaR	dégonflard	NOM	m	s	
gynécologue	ZinekolOg	gynécologue	NOM		s	
narthex	naRtEks	narthex	NOM	m		
introspections	5tROspeksj§	introspection	NOM	f	p	
sphinx	sf5ks	sphinx	NOM	m		
carie	kaRi	carie	NOM	f	s	
impertinence	5pERtin@s	impertinence	NOM	f	s	
rectification	REktifikasj§	rectification	NOM	f	s	
lambswool	l@bswul	lambswool	NOM	m	s	
prédications	pRedikasj§	prédication	NOM	f	p	
max	maks	max	NOM	m	s	
réouverture	ReuvERtyR	réouverture	NOM	f	s	
décolorations	dekoloRasj§	décoloration	NOM	f	p	
couvercle	kuvERkl	couvercle	NOM	m	s	
dupeur	dyp9R	dupeur	NOM	m	s	
passement	pas°m@	passement	NOM	m	s	
répugnances	RepyN@s	répugnance	NOM	f	p	
cuirassé	k8iRase	cuirassé	NOM	m	s	
baigneur	bEN9R	baigneur	NOM	m	s	
excroissances	EkskRwas@s	excroissance	NOM	f	p	
cousine	kuzin	cousin	NOM	f	s	
demi-soldes	d°misOld	demi-solde	NOM	f	p	
capitole	kapitOl	capitole	NOM	m	s	
déjection	deZEksj§	déjection	NOM	f	s	
pitres	pitR	pitre	NOM	m	p	
indics	5dik	indic	NOM	m	p	
séraphins	seRaf5	séraphin	NOM	m	p	
contre-épreuve	k§tRepR9v	contre-épreuve	NOM	f	s	
laissé-pour-compte	lesepuRk§t	laissé-pour-compte	NOM	m	s	
patois	patwa	patois	NOM	m		
boomerang	bum°R@g	boomerang	NOM	m	s	
législatives	leZislativ	législatif	NOM	f	p	
pétarade	petaRad	pétarade	NOM	f	s	
intellectualisme	5telEkt8alizm	intellectualisme	NOM	m	s	
hippocampe	ipok@p	hippocampe	NOM	m	s	
sport	spOR	sport	NOM	m	s	
balèzes	balEz	balèze	NOM	m	p	
zébu	zeby	zébu	NOM	m	s	
magnificence	maNifis@s	magnificence	NOM	f	s	
épaulettes	epolEt	épaulette	NOM	f	p	
apprenti-sorcier	apR@tisORsje	apprenti-sorcier	NOM	m	s	
éléphante	elef@t	éléphant	NOM	f	s	
dragueur	dRag9R	dragueur	NOM	m	s	
concertina	k§sERtina	concertina	NOM	m	s	
remugles	R°mygl	remugle	NOM	m	p	
meneur	m°n9R	meneur	NOM	m	s	
caboteur	kabot9R	caboteur	NOM	m	s	
corps-mort	kORmOR	corps-mort	NOM	m	s	
aérodromes	aeRodRom	aérodrome	NOM	m	p	
dipneustes	dipn2st	dipneuste	NOM	m	p	
brouillards	bRujaR	brouillard	NOM	m	p	
interpolateur	5tERpOlat9R	interpolateur	NOM	m	s	
proches	pROS	proche	NOM		p	
gniard	NaR	gniard	NOM	m	s	
ouzos	uzo	ouzo	NOM	m	p	
autodestruction	otodEstRyksj§	autodestruction	NOM	f	s	
bazars	bazaR	bazar	NOM	m	p	
prouts	pRut	prout	NOM	m	p	
crotte	kROt	crotte	NOM	f	s	
violoncelliste	vjol§selist	violoncelliste	NOM		s	
androgynes	@dRoZin	androgyne	NOM		p	
aubier	obje	aubier	NOM	m	s	
carboglace	kaRboglas	carboglace	NOM	m	s	
panzer	p@nzER	panzer	NOM	m	s	
broker	bRok9R	broker	NOM	m	s	
mach	mak	mach	NOM	m		
évangélisation	ev@Zelizasj§	évangélisation	NOM	f	s	
mammographie	mamogRafi	mammographie	NOM	f	s	
amygdales	amidal	amygdale	NOM	f	p	
campanule	k@panyl	campanule	NOM	f	s	
faiseuses	f°z2z	faiseur	NOM	f	p	
macérations	maseRasj§	macération	NOM	f	p	
liséré	lizeRe	liséré	NOM	m	s	
co-proprio	kopRopRio	co-proprio	NOM	m	s	
châtiments	Satim@	châtiment	NOM	m	p	
couplé	kuple	couplé	NOM	m	s	
brigand	bRig@	brigand	NOM	m	s	
sénéchal	seneSal	sénéchal	NOM	m	s	
luette	l8Et	luette	NOM	f	s	
kilomètres	kilomEtR	kilomètre	NOM	m	p	
réparations	RepaRasj§	réparation	NOM	f	p	
chevelures	S°v°lyR	chevelure	NOM	f	p	
gaspacho	gaspatSo	gaspacho	NOM	m	s	
kobolds	kobOld	kobold	NOM	m	p	
garno	gaRno	garno	NOM	m	s	
massé	mase	massé	NOM	m	s	
remontant	R°m§t@	remontant	NOM	m	s	
camarin	kamaR5	camarin	NOM	m	s	
steppe	stEp	steppe	NOM	f	s	
bourbon	buRb§	bourbon	NOM	m	s	
estancias	Est@sja	estancia	NOM	f	p	
résistante	Rezist@t	résistant	NOM	f	s	
ciné	sine	ciné	NOM	m	s	
cuirs	k8iR	cuir	NOM	m	p	
satires	satiR	satire	NOM	f	p	
cagote	kagOt	cagot	NOM	f	s	
brosseur	bRos9R	brosseur	NOM	m	s	
sous-entendus	suz@t@dy	sous-entendu	NOM	m	p	
contre-indication	k§tR5dikasj§	contre-indication	NOM	f	s	
jacobite	Zakobit	jacobite	NOM		s	
tagueurs	tag9R	tagueur	NOM	m	p	
détrousseurs	detRus9R	détrousseur	NOM	m	p	
neutron	n2tR§	neutron	NOM	m	s	
recroquevillement	R2kROkvij°m@	recroquevillement	NOM	m	s	
convalo	k§valo	convalo	NOM	f	s	
bluffeur	bl9f9R	bluffeur	NOM	m	s	
épectase	epEktaz	épectase	NOM	f	s	
mûre	myR	mûr	NOM	f	s	
dies irae	djEsiRe	dies irae	NOM	m		
flottille	flotij	flottille	NOM	f	s	
meuble	m9bl	meuble	NOM	m	s	
maigrichonne	megRiSOn	maigrichon	NOM	f	s	
palpeurs	palp9R	palpeur	NOM	m	p	
serval	sERval	serval	NOM	m	s	
sexologue	seksolOg	sexologue	NOM		s	
coquinerie	kokin°Ri	coquinerie	NOM	f	s	
anti-asthmatique	@tiasmatik	anti-asthmatique	NOM		s	
chroniqueuse	kRonik2z	chroniqueur	NOM	f	s	
razzias	Radzja	razzia	NOM	f	p	
études	etyd	étude	NOM	f	p	
schleu	Sl2	schleu	NOM	m	s	
porte-glaive	pORt°glEv	porte-glaive	NOM	m		
hétéroptère	eteROptER	hétéroptère	NOM	m	s	
agressivité	agResivite	agressivité	NOM	f	s	
pauvreté	povR°te	pauvreté	NOM	f	s	
arroseurs	aRoz9R	arroseur	NOM	m	p	
régionalisme	ReZjonalizm	régionalisme	NOM	m	s	
exterminations	EkstERminasj§	extermination	NOM	f	p	
télégraphistes	telegRafist	télégraphiste	NOM		p	
gangrènes	g@gREn	gangrène	NOM	f	p	
échauffement	eSofm@	échauffement	NOM	m	s	
méchoui	meSwi	méchoui	NOM	m	s	
mondanités	m§danite	mondanité	NOM	f	p	
avalement	aval°m@	avalement	NOM	m	s	
éclaircissement	eklERsis°m@	éclaircissement	NOM	m	s	
triton	tRit§	triton	NOM	m	s	
localisations	lokalizasj§	localisation	NOM	f	p	
employeurs	@plwaj9R	employeur	NOM	m	p	
gros-grain	gRogR5	gros-grain	NOM	m	s	
luzernes	lyzERn	luzerne	NOM	f	p	
mensurations	m@syRasj§	mensuration	NOM	f	p	
auditoriums	oditoRjOm	auditorium	NOM	m	p	
ultra-violets	yltRavjolE	ultra-violet	NOM		s	
palanches	pal@S	palanche	NOM	f	p	
roupettes	RupEt	roupettes	NOM	f	p	
bimestre	bimEstR	bimestre	NOM	m	s	
mi-noir	minwaR	mi-noir	NOM	m		
butagaz	bytagaz	butagaz	NOM	m		
cressonnières	kREsonjER	cressonnière	NOM	f	p	
marquises	maRkiz	marquis	NOM	f	p	
souillure	sujyR	souillure	NOM	f	s	
la plata	laplata	la plata	NOM		s	
tomahawk	tomaOk	tomahawk	NOM	m	s	
eye-liner	ajlajn9R	eye-liner	NOM	m	s	
croisillons	kRwazij§	croisillon	NOM	m	p	
téléfilms	telefilm	téléfilm	NOM	m	p	
consommatrice	k§somatRis	consommateur	NOM	f	s	
nage	naZ	nage	NOM	f	s	
fiers-à-bras	fjERabRa	fiers-à-bras	NOM	m	p	
senti	s@ti	senti	NOM	m	s	
ilium	iljOm	ilium	NOM	m	s	
pèlerinage	pEl°RinaZ	pèlerinage	NOM	m	s	
droitiers	dRwatje	droitier	NOM	m	p	
empoignades	@pwaNad	empoignade	NOM	f	p	
gymnastiques	Zimnastik	gymnastique	NOM	f	p	
arthrite	aRtRit	arthrite	NOM	f	s	
casse-pipe	kaspip	casse-pipe	NOM	m	s	
déductibilité	dedyktibilite	déductibilité	NOM	f	s	
affolement	afOl°m@	affolement	NOM	m	s	
carafes	kaRaf	carafe	NOM	f	p	
épurations	epyRasj§	épuration	NOM	f	p	
divorcée	divORse	divorcé	NOM	f	s	
pactes	pakt	pacte	NOM	m	p	
constantes	k§st@t	constante	NOM	f	p	
lassitudes	lasityd	lassitude	NOM	f	p	
colombins	kol§b5	colombin	NOM	m	p	
commanditaires	kom@ditER	commanditaire	NOM		p	
gérontes	ZeR§t	géronte	NOM	m	p	
vacuité	vak8ite	vacuité	NOM	f	s	
quidams	k8idam	quidam	NOM	m	p	
pulsion	pylsj§	pulsion	NOM	f	s	
cybermonde	sibERm§d	cybermonde	NOM	m	s	
mélangeurs	mel@Z9R	mélangeur	NOM	m	p	
chafaud	Safo	chafaud	NOM	m	s	
caducée	kadyse	caducée	NOM	m	s	
nuées	n8e	nuée	NOM	f	p	
vitre	vitR	vitre	NOM	f	s	
prototype	pRototip	prototype	NOM	m	s	
prunelles	pRynEl	prunelle	NOM	f	p	
sadomasochiste	sadomazoSist	sadomasochiste	NOM		s	
ex-homme	EksOm	ex-homme	NOM	m	s	
luron	lyR§	luron	NOM	m	s	
mollah	mola	mollah	NOM	m	s	
conjecture	k§ZEktyR	conjecture	NOM	f	s	
baïonnettes	bajonEt	baïonnette	NOM	f	p	
aliénée	aljene	aliéné	NOM	f	s	
prostatectomie	pROstatEktOmi	prostatectomie	NOM	f	s	
collaborateur	kolaboRat9R	collaborateur	NOM	m	s	
siège	sjEZ	siège	NOM	m	s	
rouston	Rust§	rouston	NOM	m	s	
hand-ball	@dbOl	hand-ball	NOM	m	s	
poursuites	puRs8it	poursuite	NOM	f	p	
échos-radars	ekoRadaR	échos-radar	NOM	m	p	
barge	baRZ	barge	NOM	f	s	
buvette	byvEt	buvette	NOM	f	s	
bisulfite	bisylfit	bisulfite	NOM	m	s	
fuie	f8i	fuie	NOM	f	s	
girations	ZiRasj§	giration	NOM	f	p	
châlits	Sali	châlit	NOM	m	p	
boutonnage	butonaZ	boutonnage	NOM	m	s	
biberons	bib°R§	biberon	NOM	m	p	
stratégiste	stRateZist	stratégiste	NOM		s	
dépendeurs	dep@d9R	dépendeur	NOM	m	p	
agate	agat	agate	NOM	f	s	
activations	aktivasj§	activation	NOM	f	p	
assassinats	asasina	assassinat	NOM	m	p	
corrupteur	koRypt9R	corrupteur	NOM	m	s	
annexes	anEks	annexe	NOM	f	p	
jargon	ZaRg§	jargon	NOM	m	s	
perestroïka	peREstRoika	perestroïka	NOM	f	s	
pastiches	pastiS	pastiche	NOM	m	p	
résultat	Rezylta	résultat	NOM	m	s	
fada	fada	fada	NOM		s	
maurrassisme	moRasizm	maurrassisme	NOM	m	s	
sable	sabl	sable	NOM	m	s	
moscovites	mOskovit	moscovite	NOM		p	
nomade	nomad	nomade	NOM		s	
exploitant	Eksplwat@	exploitant	NOM	m	s	
finale	final	finale	NOM		s	
esperanto	EspeR@to	esperanto	NOM	m	s	
écoutille	ekutij	écoutille	NOM	f	s	
limbes	l5b	limbe	NOM	m	p	
colcotar	kOlkotaR	colcotar	NOM	m	s	
humidité	ymidite	humidité	NOM	f	s	
nuance	n8@s	nuance	NOM	f	s	
subordonnée	sybORdone	subordonnée	NOM	f	s	
caftan	kaft@	caftan	NOM	m	s	
cariatide	kaRjatid	cariatide	NOM	f	s	
cargos	kaRgo	cargo	NOM	m	p	
commandement	kom@d°m@	commandement	NOM	m	s	
sudistes	sydist	sudiste	NOM		p	
cartel	kaRtEl	cartel	NOM	m	s	
surfaces	syRfas	surfac	NOM	f	p	
assistances	asist@s	assistance	NOM	f	p	
incarcération	5kaRseRasj§	incarcération	NOM	f	s	
addiction	adiksj§	addiction	NOM	f	s	
lignards	liNaR	lignard	NOM	m	p	
trembleur	tR@bl9R	trembleur	NOM	m	s	
verrues	veRy	verrue	NOM	f	p	
mur	myR	mur	NOM	m	s	
cor	kOR	cor	NOM	m	s	
chorus	koRys	chorus	NOM	m		
yue	jy	yue	NOM	m		
radioactivité	Radjoaktivite	radioactivité	NOM	f	s	
pulvérisateurs	pylveRizat9R	pulvérisateur	NOM	m	p	
napel	napEl	napel	NOM	m	s	
femme-enfant	fam@f@	femme-enfant	NOM	f	s	
galtouse	galtuz	galtouse	NOM	f	s	
lansquenet	l@sk°nE	lansquenet	NOM	m	s	
pinède	pinEd	pinède	NOM	f	s	
scierie	siRi	scierie	NOM	f	s	
rocking-chairs	ROkiGtSER	rocking-chair	NOM	m	p	
agités	aZite	agité	NOM	m	p	
godets	godE	godet	NOM	m	p	
février	fevRije	février	NOM	m		
moyennes	mwajEn	moyenne	NOM	f	p	
calorie	kaloRi	calorie	NOM	f	s	
prurit	pRyRit	prurit	NOM	m	s	
anarchisme	anaRSizm	anarchisme	NOM	m	s	
sherpa	SERpa	sherpa	NOM	m	s	
donzelle	d§zEl	donzelle	NOM	f	s	
mercuriales	mERkyRjal	mercuriale	NOM	f	p	
palefrenière	pal°fR2njER	palefrenier	NOM	f	s	
prussik	pRysik	prussik	NOM	m	s	
transporteur	tR@spORt9R	transporteur	NOM	m	s	
régimes	ReZim	régime	NOM	m	p	
coloris	koloRi	coloris	NOM	m		
chignoles	SiNOl	chignole	NOM	f	p	
balsamier	balzamje	balsamier	NOM	m	s	
aéronautiques	aeRonotik	aéronautique	NOM	f	p	
cicatrice	sikatRis	cicatrice	NOM	f	s	
soupape	supap	soupape	NOM	f	s	
tamarinier	tamaRinje	tamarinier	NOM	m	s	
longuet	l§gE	longuet	NOM	m	s	
lourd	luR	lourd	NOM	m	s	
religieux	R°liZj2	religieux	NOM	m		
sylvains	silv5	sylvain	NOM	m	p	
tremblements	tR@bl°m@	tremblement	NOM	m	p	
favori	favoRi	favori	NOM	m	s	
taules	tol	taule	NOM	f	p	
yèbles	jEbl	yèble	NOM	f	p	
rémunérations	RemyneRasj§	rémunération	NOM	f	p	
plus-value	plyvaly	plus-value	NOM	f	s	
planétoïde	planetoid	planétoïde	NOM	m	s	
calendes	kal@d	calendes	NOM	f	p	
empoisonnements	@pwazOn°m@	empoisonnement	NOM	m	p	
anesthésie	anEstezi	anesthésie	NOM	f	s	
event	ivEnt	event	NOM	m	s	
affiliés	afilje	affilié	NOM	m	p	
bikini	bikini	bikini	NOM	m	s	
floche	flOS	floche	NOM	f	s	
occasion	okazj§	occasion	NOM	f	s	
alimentations	alim@tasj§	alimentation	NOM	f	p	
séduction	sedyksj§	séduction	NOM	f	s	
promo	pRomo	promo	NOM	f	s	
autosuffisance	otosyfiz@s	autosuffisance	NOM	f	s	
terminus	tERminys	terminus	NOM	m		
dèches	dES	dèche	NOM	f	p	
tinée	tine	tinée	NOM	f	s	
crâneuse	kRan2z	crâneur	NOM	f	s	
brouilles	bRuj	brouille	NOM	f	p	
topos	topo	topo	NOM	m	p	
nems	nEm	nem	NOM	m	p	
trépieds	tRepje	trépied	NOM	m	p	
yourtes	juRt	yourte	NOM	f	p	
tégument	tegym@	tégument	NOM	m	s	
bathysphère	batisfER	bathysphère	NOM	f	s	
lâchetés	laS°te	lâcheté	NOM	f	p	
animus	animys	animus	NOM	m		
cabane	kaban	cabane	NOM	f	s	
bêcheurs	bES9R	bêcheur	NOM	m	p	
manga	m@ga	manga	NOM	m	s	
compteur	k§t9R	compteur	NOM	m	s	
complexités	k§plEksite	complexité	NOM	f	p	
scoumoune	skumun	scoumoune	NOM	f	s	
carters	kaRtER	carter	NOM	m	p	
informateurs	5fORmat9R	informateur	NOM	m	p	
enseigne	@sEN	enseigne	NOM		s	
réparateur	RepaRat9R	réparateur	NOM	m	s	
réengagement	Re@gaZ°m@	réengagement	NOM	m	s	
randonneuse	R@don2z	randonneur	NOM	f	s	
velux	v2luks	velux	NOM	m	s	
carnassier	kaRnasje	carnassier	NOM	m	s	
écuelles	ek8El	écuelle	NOM	f	p	
convertis	k§vERti	converti	NOM	m	p	
brivadois	bRivadwa	brivadois	NOM	m		
hachettes	aSEt	hachette	NOM	f	p	
baobabs	baobab	baobab	NOM	m	p	
taxes	taks	taxe	NOM	f	p	
inculpés	5kylpe	inculpé	NOM	m	p	
domesticité	domEstisite	domesticité	NOM	f	s	
parc	paRk	parc	NOM	m	s	
baroudeurs	baRud9R	baroudeur	NOM	m	p	
permanente	pERman@t	permanente	NOM	f	s	
mormon	mORm§	mormon	NOM	m	s	
thiamine	tjamin	thiamine	NOM	f	s	
duc	dyk	duc	NOM	m	s	
annonciation	an§sjasj§	annonciation	NOM	f	s	
spectrographie	spEktRogRafi	spectrographie	NOM	f	s	
carrée	kaRe	carrée	NOM	f	s	
dégénérescence	deZeneRes@s	dégénérescence	NOM	f	s	
supputations	sypytasj§	supputation	NOM	f	p	
part	paR	part	NOM		s	
positivisme	pozitivizm	positivisme	NOM	m	s	
parkings	paRkiG	parking	NOM	m	p	
baisement	bEz°m@	baisement	NOM	m	s	
vadrouilleur	vadRuj9R	vadrouilleur	NOM	m	s	
morcif	mORsif	morcif	NOM	m	s	
cynisme	sinizm	cynisme	NOM	m	s	
demeurée	d°m9Re	demeuré	NOM	f	s	
suicidants	s8isid@	suicidant	NOM	m	p	
riviera	RivjERa	riviera	NOM	f	s	
mi-chourineur	miSuRin9R	mi-chourineur	NOM	m	s	
byzantins	biz@t5	byzantin	NOM	m	p	
loisir	lwaziR	loisir	NOM	m	s	
tannerie	tan°Ri	tannerie	NOM	f	s	
crevettiers	kR°v°tje	crevettier	NOM	m	p	
écrivassiers	ekRivasje	écrivassier	NOM	m	p	
pédophiles	pedofil	pédophile	NOM	m	p	
stroboscope	stRObOskOp	stroboscope	NOM	m	s	
matraquage	matRakaZ	matraquage	NOM	m	s	
vaisseliers	vEs°lje	vaisselier	NOM	m	p	
médisance	mediz@s	médisance	NOM	f	s	
sapin	sap5	sapin	NOM	m	s	
entomologiste	@tomoloZist	entomologiste	NOM		s	
nigauds	nigo	nigaud	NOM	m	p	
quasi-permanence	kazipERman@s	quasi-permanence	NOM	f	s	
épeautre	epotR	épeautre	NOM	m	s	
valeurs	val9R	valeur	NOM	f	p	
vacuum	vak8Om	vacuum	NOM	m	s	
emphysèmes	@fizEm	emphysème	NOM	m	p	
averse	avERs	averse	NOM	f	s	
ex-camarades	EkskamaRad	ex-camarade	NOM		p	
renfermés	R@fERme	renfermé	NOM	m	p	
naissances	nEs@s	naissance	NOM	f	p	
salsa	salsa	salsa	NOM	f	s	
défonceuse	def§s2z	défonceuse	NOM	f	s	
bienheureux	bj5n2R2	bienheureux	NOM	m		
narration	naRasj§	narration	NOM	f	s	
loupés	lupe	loupé	NOM	m	p	
rollmops	ROlmOps	rollmops	NOM	m		
prorogation	pRoRogasj§	prorogation	NOM	f	s	
pleurotes	pl9ROt	pleurote	NOM	m	p	
accumulations	akymylasj§	accumulation	NOM	f	p	
alertes	alERt	alerte	NOM	f	p	
re-rigole	R°RigOl	rerigole	NOM	f	s	
minigolf	minigOlf	minigolf	NOM	m	s	
canoë	kanoe	canoë	NOM	m	s	
repentant	R°p@t@	repentant	NOM	m	s	
radada	Radada	radada	NOM	m	s	
linguiste	l5g8ist	linguiste	NOM		s	
loquacité	lokasite	loquacité	NOM	f	s	
enflé	@fle	enflé	NOM	m	s	
connaissance	konEs@s	connaissance	NOM	f	s	
québécois	kebekwa	québécois	NOM	m		
malpoli	malpoli	malpoli	NOM	m	s	
anti-piratage	@tipiRataZ	anti-piratage	NOM	m	s	
savoirs	savwaR	savoir	NOM	m	p	
bressanes	bREsan	bressan	NOM	f	p	
chuchotements	SySOt°m@	chuchotement	NOM	m	p	
isolements	izOl°m@	isolement	NOM	m	p	
nivaquine	nivakin	nivaquine	NOM	f	s	
équinoxes	ekinOks	équinoxe	NOM	m	p	
bluets	blyE	bluet	NOM	m	p	
chattemite	Sat°mit	chattemite	NOM	f	s	
râleuses	Ral2z	râleur	NOM	f	p	
landiers	l@dje	landier	NOM	m	p	
crétoise	kRetwaz	crétois	NOM	f	s	
maire	mER	maire	NOM	m	s	
conférencier	k§feR@sje	conférencier	NOM	m	s	
commotions	komosj§	commotion	NOM	f	p	
gaine	gEn	gaine	NOM	f	s	
répétiteurs	Repetit9R	répétiteur	NOM	m	p	
dilettantes	dilEt@t	dilettante	NOM		p	
filleul	fij9l	filleul	NOM	m	s	
masochisme	mazoSizm	masochisme	NOM	m	s	
louchet	luSE	louchet	NOM	m	s	
aberration	abERasj§	aberration	NOM	f	s	
sinusoïdes	sinyzoid	sinusoïde	NOM	f	p	
maquignons	makiN§	maquignon	NOM	m	p	
enveloppé	@v°lope	enveloppé	NOM	m	s	
sixtus	sikstys	sixtus	NOM	m		
demi-litre	d°militR	demi-litre	NOM	m	s	
portraits	pORtRE	portrait	NOM	m	p	
phalène	falEn	phalène	NOM	f	s	
ka	ka	ka	NOM	m	s	
paladins	palad5	paladin	NOM	m	p	
bien-fonds	bj5f§	bien-fonds	NOM	m		
échange	eS@Z	échange	NOM	m	s	
skeets	skit	skeet	NOM	m	p	
hippie	ipi	hippie	NOM		s	
baseball	bezbol	baseball	NOM	m	s	
lointain	lw5t5	lointain	NOM	m	s	
guipures	gipyR	guipure	NOM	f	p	
guinguettes	g5gEt	guinguette	NOM	f	p	
entrecôte	@tR°kot	entrecôte	NOM	f	s	
césure	sezyR	césure	NOM	f	s	
théière	tejER	théière	NOM	f	s	
digest	diZEst	digest	NOM	m	s	
médiator	medjatOR	médiator	NOM	m	s	
dixième	dizjEm	dixième	NOM		s	
spoutniks	sputnik	spoutnik	NOM	m	p	
aseptisation	asEptizasj§	aseptisation	NOM	f	s	
suspecte	syspEkt	suspect	NOM	f	s	
oedipe	2dip	oedipe	NOM	m	s	
paquet-cadeau	pakEkado	paquet-cadeau	NOM	m	s	
corne	kORn	corne	NOM	f	s	
genévriers	Z°nevRije	genévrier	NOM	m	p	
eskimo	Eskimo	eskimo	NOM	m	s	
interlude	5tERlyd	interlude	NOM	m	s	
rurales	RyRal	rural	NOM	f	p	
cypriote	sipRijOt	cypriote	NOM		s	
patouillard	patujaR	patouillard	NOM	m	s	
glande	gl@d	glande	NOM	f	s	
galérien	galeRj5	galérien	NOM	m	s	
skunks	sk§s	skunks	NOM	m		
rusticité	Rystisite	rusticité	NOM	f	s	
hard edge	aRdEdZ	hard edge	NOM	m	s	
compacité	k§pasite	compacité	NOM	f	s	
portland	pORtl@d	portland	NOM	m	s	
archi-nuls	aRSinyl	archi-nuls	NOM	m		
feuillées	f9je	feuillée	NOM	f	p	
ponte	p§t	ponte	NOM		s	
manquants	m@k@	manquant	NOM	m	p	
goulasch	gulaS	goulasch	NOM	m	s	
brigade	bRigad	brigade	NOM	f	s	
évolutions	evolysj§	évolution	NOM	f	p	
clinicat	klinika	clinicat	NOM	m	s	
bardo	baRdo	bardo	NOM	m	s	
sténodactylographie	stenodaktilogRafi	sténodactylographie	NOM	f	s	
jarretière	ZaR°tjER	jarretière	NOM	f	s	
moujingues	muZ5g	moujingue	NOM		p	
arceaux	aRso	arceau	NOM	m	p	
sagesse	saZEs	sagesse	NOM	f	s	
soude	sud	soude	NOM	f	s	
panier	panje	panier	NOM	m	s	
exhalaisons	EgzalEz§	exhalaison	NOM	f	p	
kaori	kaORi	kaori	NOM	m	s	
nectarine	nEktaRin	nectarine	NOM	f	s	
cordes	kORd	corde	NOM	f	p	
sous-développé	sudev°lope	sous-développé	NOM	m	s	
dépassements	depas°m@	dépassement	NOM	m	p	
indifférence	5difeR@s	indifférence	NOM	f	s	
vendémiaire	v@demjER	vendémiaire	NOM	m	s	
sacrements	sakR°m@	sacrement	NOM	m	p	
directives	diREktiv	directive	NOM	f	p	
constipation	k§stipasj§	constipation	NOM	f	s	
arrondi	aR§di	arrondi	NOM	m	s	
targette	taRZEt	targette	NOM	f	s	
arrêt	aRE	arrêt	NOM	m	s	
démoralisateur	demORalizat9R	démoralisateur	NOM	m	s	
appas	apa	appas	NOM	m	p	
lacune	lakyn	lacune	NOM	f	s	
grecques	gREk	grec	NOM	f	p	
mentule	m@tyl	mentule	NOM	f	s	
tisserand	tis°R@	tisserand	NOM	m	s	
bateleurs	bat°l9R	bateleur	NOM	m	p	
anti-débauche	@tideboS	anti-débauche	NOM	f	s	
nu	ny	nu	NOM	m	s	
assistant	asist@	assistant	NOM	m	s	
