Dénomination sociale;Rue 1;Rue 2;Rue 3;Ville;Code postal;Code département;Catégorie;Dep;Tél;latitude;longitude;lat-lon
CONSERVATOIRE DE PARIS 18 - GUSTAVE CHARPENTIER;29 rue Baudelique;;;PARIS;75018;75;CRC/CRI - Conservatoire à rayonnement communal;75;01 42 64 24 77;48.893356;2.347637;48.893356, 2.347637
CONSERVATOIRE DE VAUX-LE-PÉNIL;Espace François Mitterand;1 rue des Ormessons;;VAUX-LE-PÉNIL;77000;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 64 71 51 28;48.526627;2.680658;48.526627, 2.680658
ECOLE MUNICIPALE DE MUSIQUE DE COULOMMIERS;14 bis avenue de la République;;;COULOMMIERS;77120;77;Ecole de musique et de danse municipale ou intercommunale;77;;48.815684;3.08464;48.815684, 3.08464
CONSERVATOIRE DE TORCY - MICHEL SLOBO;2 place de l'Eglise;;;TORCY;77200;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 37 37 30;48.850054;2.653395;48.850054, 2.653395
CONSERVATOIRE DE MITRY-MORY;7 avenue de Verdun;;;MITRY-MORY;77290;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 21 22 10;48.955294;2.600131;48.955294, 2.600131
ÉCOLE DE MUSIQUE DE FONTAINEBLEAU;45 rue Béranger;;;FONTAINEBLEAU;77300;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 64 22 27 18;48.409896;2.703291;48.409896, 2.703291
ECOLE MUNICIPALE DE MUSIQUE DE LA FERTÉ-GAUCHER;Maison des services publics;6 rue Ernest Delbert;Bâtiment C;LA-FERTE-GAUCHER;77320;77;Ecole de musique et de danse municipale ou intercommunale;77;;48.782214;3.306659;48.782214, 3.306659
ECOLE DE MUSIQUE DE VAIRES-SUR-MARNE - OLIVIER MESSIAEN;31 - 33 avenue Jean-Jaurès;;;VAIRES-SUR-MARNE;77360;77;CRC/CRI - Conservatoire à rayonnement communal;77;;48.87321;2.637302;48.87321, 2.637302
CONSERVATOIRE DE MARNE ET GONDOIRE - THORIGNY SUR MARNE / POMPONNE;1 rue Gambetta;;;THORIGNY-SUR-MARNE;77400;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 07 89 80;48.884339;2.712336;48.884339, 2.712336
CONSERVATOIRE DE CHELLES;1, rue Pointcarré;;;CHELLES;77500;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 08 09 82;48.870718;2.582289;48.870718, 2.582289
CONSERVATOIRE DE MONTIGNY-LE-BRETONNEUX;Quartier de la Sourderie;Place Jacques Coeur;;MONTIGNY-LE-BRETONNEUX;78180;78;CRC/CRI - Conservatoire à rayonnement communal;78;01 30 64 15 73;48.769454;2.040095;48.769454, 2.040095
ECOLE MUNICIPALE DE MUSIQUE ET DE DANSE DE TRAPPES;4 rue des Fermes;;;TRAPPES;78190;78;Ecole de musique et de danse municipale ou intercommunale;78;01 30 16 45 60;48.778503;1.996767;48.778503, 1.996767
ECOLE DE MUSIQUE DE FONTENAY-LE-FLEURY;5 rue Jean Jaurès;;;FONTENAY-LE-FLEURY;78330;78;Ecole de musique et de danse municipale ou intercommunale;78;;48.814681;2.048735;48.814681, 2.048735
CONSERVATOIRE DE PLAISIR;282 rue de la Brétechelle;;;PLAISIR;78370;78;CRC/CRI - Conservatoire à rayonnement communal;78;01 30 79 63 31;48.816513;1.954398;48.816513, 1.954398
ECOLE MUNICIPALE DE MUSIQUE ET DE DANSE DE VERNEUIL-SUR-SEINE;11 rue Delapierre;;;VERNEUIL-SUR-SEINE;78480;78;Ecole de musique et de danse municipale ou intercommunale;78;;48.979172;1.976938;48.979172, 1.976938
ECOLE DE MUSIQUE ET DE DANSE DE TRIEL-SUR-SEINE;Espace Senet;121 rue Paul Doumer;;TRIEL-SUR-SEINE;78510;78;Ecole de musique et de danse municipale ou intercommunale;78;06 24 43 08 73;48.979514;2.00393;48.979514, 2.00393
CONSERVATOIRE DE PALAISEAU;69 Rue Victor Hugo;;;PALAISEAU;91120;91;CRC/CRI - Conservatoire à rayonnement communal;91;;48.711853;2.247909;48.711853, 2.247909
CONSERVATOIRE DE VIRY-CHATILLON - M.A. CHARPENTIER;28 avenue de la République;;;VIRY-CHATILLON;91170;91;CRC/CRI - Conservatoire à rayonnement communal;91;;48.671761;2.377226;48.671761, 2.377226
CONSERVATOIRE DES PORTES DE L'ESSONNE - JUVISY;Place Jean Durix;;;JUVISY-SUR-ORGE;91261;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 69 57 82 10;48.690378;2.374595;48.690378, 2.374595
CONSERVATOIRE D'ARPAJON - GABRIEL FAURÉ;13 rue Dauvilliers;;;ARPAJON;91290;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 64 90 21 29;48.589806;2.250046;48.589806, 2.250046
ÉCOLE DE MUSIQUE DE LONGPONT-SUR-ORGE;26 rue Lormoy;;;LONGPONT-SUR-ORGE;91310;91;Ecole de musique et de danse municipale ou intercommunale;91;;48.641019;2.291502;48.641019, 2.291502
CONSERVATOIRE DE QUINCY-SOUS-SÉNART;2 rue de Combs-la-Ville;;;QUINCY-SOUS-SÉNART;91480;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 69 00 48 72;48.671856;2.538683;48.671856, 2.538683
CONSERVATOIRE D'ETRECHY;2 boulevard de la Gare;;;ETRECHY;91580;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 60 80 24 46;48.493705;2.193787;48.493705, 2.193787
ÉCOLE MUNICIPALE DE MUSIQUE ET DE DANSE DE LA VILLE-DU-BOIS;Ferme de la Croix Saint-Jacques;;;LA-VILLE-DU-BOIS;91620;91;Ecole de musique et de danse municipale ou intercommunale;91;;48.669142;2.274454;48.669142, 2.274454
CONSERVATOIRE DE BREUILLET;40 grande rue;;;BREUILLET;91650;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 69 81 19 60;48.567041;2.173137;48.567041, 2.173137
CONSERVATOIRE DE SAINTE-GENEVIÈVE-DES-BOIS - R.NOUREEV;3 rue Romain Rolland;;;SAINTE-GENEVIÈVE-DES-BOIS;91700;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 60 16 03 11;48.648423;2.318455;48.648423, 2.318455
ÉCOLE MUNICIPALE DE MUSIQUE DE BOISSY-SOUS-SAINT-YON;Mairie;Place Charles De Gaulle;;BOISSY-SOUS-SAINT-YON;91790;91;Ecole de musique et de danse municipale ou intercommunale;91;06 81 00 52 04;48.558603;2.20939;48.558603, 2.20939
ÉCOLE MUNICIPALE DE MUSIQUE DU COUDRAY-MONTCEAUX;Centre culturel Athanassios Athanassiou;;;LE-COUDRAY-MONTCEAUX;91830;91;Ecole de musique et de danse municipale ou intercommunale;91;06 27 18 04 49;48.561048;2.494818;48.561048, 2.494818
CONSERVATOIRE DE VANVES;17-21 rue Solférino;;;VANVES;92170;92;CRC/CRI - Conservatoire à rayonnement communal;92;01 46 29 44 80;48.822878;2.289652;48.822878, 2.289652
CONSERVATOIRE DE FONTENAY-AUX-ROSES;3 bis rue du Docteur Soubise;;;FONTENAY-AUX-ROSES;92260;92;CRC/CRI - Conservatoire à rayonnement communal;92;01 43 50 67 67;48.787524;2.286904;48.787524, 2.286904
CONSERVATOIRE DE CHÂTILLON;5 rue Paul Bert;;;CHATILLON;92320;92;CRC/CRI - Conservatoire à rayonnement communal;92;01 42 53 14 18;48.803777;2.29101;48.803777, 2.29101
CONSERVATOIRE DE RUEIL-MALMAISON;182 avenue Paul Doumer;;;RUEIL-MALMAISON;92500;92;CRR - Conservatoire à rayonnement régional;92;01 47 49 74 45;48.879;2.177819;48.879, 2.177819
CONSERVATOIRE DE NOISY-LE-GRAND;1 place Galliéni;;;NOISY-LE-GRAND;93160;93;CRC/CRI - Conservatoire à rayonnement communal;93;01 43 04 63 55;48.848383;2.554945;48.848383, 2.554945
CONSERVATOIRE DE SEVRAN - LOUIS KERVOËRN;Espace François Mauriac;51, avenue du Général Leclerc;;SEVRAN;93270;93;CRC/CRI - Conservatoire à rayonnement communal;93;01 49 36 51 73;48.939942;2.522653;48.939942, 2.522653
CONSERVATOIRE DE DUGNY;3 avenue du Général De Gaulle;;;DUGNY;93440;93;CRC/CRI - Conservatoire à rayonnement communal;93;;48.950949;2.416514;48.950949, 2.416514
L'ÉCOLE DES ARTS DE L'ILE-SAINT-DENIS;1 rue Méchin;Place des arts;;ILE-SAINT-DENIS;93450;93;Ecole de musique et de danse municipale ou intercommunale;93;;48.935738;2.340358;48.935738, 2.340358
CONSERVATOIRE DU VAL DE BIÈVRE - LE KREMLIN-BICETRE;2 place Victor Hugo;;;LE KREMLIN-BICETRE;94270;94;CRC/CRI - Conservatoire à rayonnement communal;94;;48.808867;2.360787;48.808867, 2.360787
CONSERVATOIRE DE VINCENNES;98 rue de Fontenay;;;VINCENNES;94300;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 43 98 68 68;48.848047;2.439436;48.848047, 2.439436
CONSERVATOIRE DE SUCY-EN-BRIE;Château de Sucy;1 avenue Georges Pompidou;;SUCY-EN-BRIE;94370;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 45 90 47 47;48.77097;2.522383;48.77097, 2.522383
CONSERVATOIRE DE BONNEUIL-SUR-MARNE;10 rue Auguste Gross;;;BONNEUIL-SUR-MARNE;94380;94;CRC/CRI - Conservatoire à rayonnement communal;94;;48.773982;2.486303;48.773982, 2.486303
CONSERVATOIRE D'HERBLAY;Espace André Malraux;5 chemin de Montigny;;HERBLAY;95220;95;CRC/CRI - Conservatoire à rayonnement communal;95;01 39 78 21 92;48.991408;2.175101;48.991408, 2.175101
ECOLE MUNICIPALE DE MUSIQUE DE VIARMES;Place Pierre Salvi;BP 10;;VIARMES;95270;95;Ecole de musique et de danse municipale ou intercommunale;95;;49.126053;2.369333;49.126053, 2.369333
CONSERVATOIRE DE VILLIERS-LE-BEL;77 avenue Gambetta;;;VILLIERS-LE-BEL;95400;95;Ecole de musique et de danse municipale ou intercommunale;95;01 39 90 81 92;49.006423;2.397878;49.006423, 2.397878
ECOLE MUNICIPALE DE MUSIQUE DE SURVILLIERS;Maison des Arts et des Loisirs;Place de la Bergerie;vmarie@roissy-online.com;SURVILLIERS;95470;95;Ecole de musique et de danse municipale ou intercommunale;95;;49.099681;2.54346;49.099681, 2.54346
ECOLE DE MUSIQUE INTERCOMMUNALE DU VEXIN ET DE LA VALLÉE DE LOISE (SIMVVO);2 boulevard Gambetta;;;MARINES;95640;95;CRC/CRI - Conservatoire à rayonnement communal;95;01 30 39 20 65;49.145791;1.977508;49.145791, 1.977508
ECOLE MUNICIPALE DE MUSIQUE DE MARLY-LA-VILLE;Hôtel de Ville;10 rue Colonel Fabien;;MARLY-LA-VILLE;95670;95;Ecole de musique et de danse municipale ou intercommunale;95;;49.079419;2.499646;49.079419, 2.499646
CONSERVATOIRE DE BRUNOY;19 rue du réveillon;;;BRUNOY;91800;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 60 46 82 51;48.699881;2.500508;48.699881, 2.500508
ÉCOLE DE MUSIQUE DE VILLENEUVE-LA-GARENNE;38 quai d'Asnières;;;VILLENEUVE-LA-GARENNE;92390;92;Ecole de musique et de danse municipale ou intercommunale;92;;48.932286;2.335401;48.932286, 2.335401
CONSERVATOIRE D'ASNIÈRES-SUR-SEINE;4 rue de l'Eglise;;;ASNIÈRES-SUR-SEINE;92600;92;Ecole de musique et de danse municipale ou intercommunale;92;;48.91094;2.293402;48.91094, 2.293402
CONSERVATOIRE DE BAGNOLET - ERIK SATIE;36 rue Pierre et Marie Curie;;;BAGNOLET;93170;93;CRC/CRI - Conservatoire à rayonnement communal;93;01 83 74 56 20;48.870403;2.423929;48.870403, 2.423929
ECOLE MUNICIPALE DE MUSIQUE ET DE DANSE DE RUNGIS;6 rue Sainte-Geneviève;;;RUNGIS;94150;94;Ecole de musique et de danse municipale ou intercommunale;94;;48.748631;2.347698;48.748631, 2.347698
CONSERVATOIRE DE VITRY-SUR-SEINE - ACADÉMIE DE DANSE;71 rue Camille Groult;;;VITRY-SUR-SEINE;94400;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 55 53 14 93;48.787475;2.397546;48.787475, 2.397546
ECOLE MUNICIPALE DE MUSIQUE ET DE DANSE DE CHENNEVIÈRES-SUR-MARNE;46 avenue du Général De Gaulle;;;CHENNEVIERES-SUR-MARNE;94430;94;Ecole de musique et de danse municipale ou intercommunale;94;;48.794976;2.529859;48.794976, 2.529859
CONSERVATOIRE DU VAL DE BIÈVRE - VILLEJUIF;159 avenue de Paris;;;VILLEJUIF;94800;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 53 14 15 90;48.797888;2.366136;48.797888, 2.366136
ECOLE MUNICIPALE DE MUSIQUE DE DEUIL-LA-BARRE;2 Rue Jean Bouin;;;DEUIL-LA-BARRE;95170;95;Ecole de musique et de danse municipale ou intercommunale;95;;48.968428;2.323101;48.968428, 2.323101
ECOLE DE MUSIQUE ET DE DANSE DE SOISSY-SOUS-MONTMORENCY;1 avenue du Général de Gaulle;;;SOISY-SOUS-MONTMORENCY;95230;95;Ecole de musique et de danse municipale ou intercommunale;95;;48.987785;2.301047;48.987785, 2.301047
CONSERVATOIRE DE SAINT-OUEN L'AUMONE - MAURICE RAVEL;16 avenue du Général de Gaulle;;;SAINT-OUEN-L'AUMONE;95310;95;CRC/CRI - Conservatoire à rayonnement communal;95;01 34 64 16 82;49.043672;2.107855;49.043672, 2.107855
ECOLE MUNICIPALE DE MUSIQUE ET DE DANSE DE GONESSE;3 ter rue de Paris;;;GONESSE;95500;95;Ecole de musique et de danse municipale ou intercommunale;95;01.39.87.28.66;48.98586;2.448265;48.98586, 2.448265
CONSERVATOIRE DE PARIS 06 - JEAN-PHILIPPE RAMEAU;3 ter rue Mabillon;;;PARIS;75006;75;CRC/CRI - Conservatoire à rayonnement communal;75;01 55 42 76 20;48.85268;2.335084;48.85268, 2.335084
CONSERVATOIRE DE PARIS 12 - PAUL DUKAS;51 rue Jorge Semprun;;;PARIS;75012;75;CRC/CRI - Conservatoire à rayonnement communal;75;01 43 47 17 66;48.842281;2.384334;48.842281, 2.384334
CONSERVATOIRE DE PARIS 13 - MAURICE RAVEL;67 avenue Edison;;;PARIS;75013;75;CRC/CRI - Conservatoire à rayonnement communal;75;01 44 06 63 20;48.829784;2.359104;48.829784, 2.359104
CONSERVATOIRE DE PARIS 15 - FRÉDÉRIC CHOPIN;43 rue Bargue;;;PARIS;75015;75;CRC/CRI - Conservatoire à rayonnement communal;75;01 42 73 15 32;48.837976;2.308962;48.837976, 2.308962
CONSERVATOIRE DE PARIS 17 - CLAUDE DEBUSSY;222 rue de Courcelles;;;PARIS;75017;75;CRC/CRI - Conservatoire à rayonnement communal;75;01 47 64 98 99;48.888314;2.294026;48.888314, 2.294026
CONSERVATOIRE DE PARIS 20 - GEORGES BIZET;54 rue des Cendriers;;;PARIS;75020;75;CRC/CRI - Conservatoire à rayonnement communal;75;01 40 33 50 05;48.865842;2.388098;48.865842, 2.388098
ECOLE DE MUSIQUE DE MAREUIL-LÈS-MEAUX;3 place Jean-Jaurès;;;MAREUIL-LÈS-MEAUX;77100;77;Ecole de musique et de danse municipale ou intercommunale;77;01 64 33 14 27;48.927107;2.859191;48.927107, 2.859191
ECOLE DE MUSIQUE DE BROU-SUR-CHANTEREINE;Le kiosque;Place du 8 mai 1945;;BROU-SUR-CHANTEREINE;77177;77;Ecole de musique et de danse municipale ou intercommunale;77;01 72 84 62 78;48.881453;2.623442;48.881453, 2.623442
ECOLE MUNICIPALE DE MUSIQUE DE CROISSY-BEAUBOURG;Place de la Mairie;30 rue de Paris;;CROISSY-BEAUBOURG;77183;77;Ecole de musique et de danse municipale ou intercommunale;77;;48.82773;2.659686;48.82773, 2.659686
ECOLE DU MUSIQUE DU PAYS FERTOIS;22 avenue du Général Leclerc;;;LA-FERTE-SOUS-JOUARRE;77260;77;Ecole de musique et de danse municipale ou intercommunale;77;01 60 61 13 63;48.953451;3.128357;48.953451, 3.128357
ECOLE MUNICIPALE DE MUSIQUE ET DE DANSE DE BOISSISE;Mairie;11 rue du Château;;BOISSISE-LE-ROI;77310;77;Ecole de musique et de danse municipale ou intercommunale;77;;48.528408;2.572937;48.528408, 2.572937
ÉCOLE MUNICIPALE DE MUSIQUE DE DANSE ET DE THÉÂTRE DE SAINT-FARGEAU-PONTHIERRY;81 avenue de Fontainebleau;;;SAINT-FARGEAU-PONTHIERRY;77310;77;Ecole de musique et de danse municipale ou intercommunale;77;;48.530414;2.542883;48.530414, 2.542883
CONSERVATOIRE DE MARNE ET GONDOIRE - LAGNY-SUR-MARNE;2 avenue du Général Leclerc;;;LAGNY-SUR-MARNE;77400;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 94 00 10;48.876795;2.700906;48.876795, 2.700906
CONSERVATOIRE DE MARNE ET GONDOIRE - SAINT THIBAULT DES VIGNES;Centre culturel Marc Brinon;1 rue des Vergers;;SAINT-THIBAULT DES VIGNES;77400;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 31 73 21;48.868948;2.681552;48.868948, 2.681552
ECOLE DE MUSIQUE DE MOISSY-CRAMAYEL;Groupe scolaire du Noyer-Perrot;Rue de la Mare lEvêque;;MOISSY-CRAMAYEL;77550;77;Ecole de musique et de danse municipale ou intercommunale;77;01 64 88 17 50;48.623487;2.594671;48.623487, 2.594671
CONSERVATOIRE DE BUSSY-SAINT-GEORGES;1 rue Jean Monnet;;;BUSSY-SAINT-GEORGES;77600;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 21 36 00;48.83893;2.707888;48.83893, 2.707888
CONSERVATOIRE DU VÉSINET - GEORGES BIZET;51 boulevard d'Angleterre;;;LE VESINET;78110;78;CRC/CRI - Conservatoire à rayonnement communal;78;;48.896631;2.118341;48.896631, 2.118341
MAISON DE LA MUSIQUE ET DE LA DANSE DE LA VERRIÈRE;19 avenue du Général Leclerc;;;LA VERRIERE;78320;78;Ecole de musique et de danse municipale ou intercommunale;78;;48.754558;1.954923;48.754558, 1.954923
ECOLE DE MUSIQUE DE BOUGIVAL;10 rue Général Leclerc;;;BOUGIVAL;78380;78;Ecole de musique et de danse municipale ou intercommunale;78;;48.866587;2.138297;48.866587, 2.138297
ECOLE DE MUSIQUE MONTFORT L'AMAURY;;;;MONTFORT L'AMAURY;78490;78;Ecole de musique et de danse municipale ou intercommunale;78;;48.776544;1.807899;48.776544, 1.807899
CONSERVATOIRE DE JOUARS-PONTCHARTRAIN;1 rue Sainte Anne;;;JOUARS-PONTCHARTRAIN;78760;78;CRC/CRI - Conservatoire à rayonnement communal;78;;48.801626;1.900179;48.801626, 1.900179
CONSERVATOIRE DE SAINT-NOM-LA-BRETECHE;Espace Jacques Kosciusko-Morizet;1 place Henri Hamel;;SAINT-NOM-LA-BRETECHE;78860;78;CRC/CRI - Conservatoire à rayonnement communal;78;;48.862808;2.019552;48.862808, 2.019552
CONSERVATOIRE D'EVRY CENTRE ESSONNE - SITE  VILLABÉ;10 rue Orion;;;VILLABÉ;91100;91;CRC/CRI - Conservatoire à rayonnement communal;91;06 42 69 88 77;48.588767;2.460902;48.588767, 2.460902
CONSERVATOIRE D'EVRY CENTRE ESSONNE - SITE  OLIVIER MESSIAEN;17 rue du Château d'eau;;;RIS-ORANGIS;91130;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 69 06 28 37;48.646976;2.399489;48.646976, 2.399489
ECOLE DE MUSIQUE DE SAULX LES CHARTREUX;Mairie;62 rue de la Division Leclerc;;SAULX-LES-CHARTREUX;91160;91;Ecole de musique et de danse municipale ou intercommunale;91;;48.691224;2.264668;48.691224, 2.264668
ÉCOLE DE MUSIQUE DE SAINT-GERMAIN-LES-CORBEIL - ERIK SATIE;6 chemin de Brie;;;SAINT-GERMAIN-LES-CORBEIL;91250;91;Ecole de musique et de danse municipale ou intercommunale;91;;48.621627;2.506665;48.621627, 2.506665
CONSERVATOIRE DE LINAS;103 avenue de la Division Leclerc;;;LINAS;91310;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 64 49 86 70;48.630161;2.264944;48.630161, 2.264944
CONSERVATOIRE DE CHILLY-MAZARIN;Place du 8 mai 1945;;;CHILLY-MAZARIN;91380;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 69 10 37 70;48.701858;2.314079;48.701858, 2.314079
CONSERVATOIRE DE SACLAY;CES Georges Brassens;5bis, rue de Palaiseau;;SACLAY;91400;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 60 19 71 16;48.730325;2.17652;48.730325, 2.17652
CONSERVATOIRE DE LA VALLÉE DE CHEVREUSE - ORSAY;87 rue de Paris - BP 74;;;ORSAY CEDEX;91402;91;CRD - Conservatoire à rayonnement départemental;91;01 69 28 72 07;48.696825;2.190566;48.696825, 2.190566
CONSERVATOIRE D'IGNY;Centre culturel;Place Stalingrad;;IGNY;91430;91;Ecole de musique et de danse municipale ou intercommunale;91;01 69 33 21 35;48.732664;2.221292;48.732664, 2.221292
ECOLE DE MUSIQUE DE SOISY-SUR-SEINE;Château du Grand Veneur Rue du grand Veneur;;;SOISY-SUR-SEINE;91450;91;Ecole de musique et de danse municipale ou intercommunale;91;01 69 89 01 62;48.648242;2.453346;48.648242, 2.453346
CONSERVATOIRE DE LARDY;17, avenue Foch;;;LARDY;91510;91;Ecole de musique et de danse municipale ou intercommunale;91;;48.521797;2.262841;48.521797, 2.262841
CONSERVATOIRE DE BOUSSY-SAINT-ANTOINE;Foyer Jean Ghéhenno;47 rue Georges Coubard;;BOUSSY-SAINT-ANTOINE;91800;91;CRC/CRI - Conservatoire à rayonnement communal;91;01 69 00 13 51;48.689752;2.53112;48.689752, 2.53112
CONSERVATOIRE DE BOULOGNE-BILLANCOURT;22 rue de la Belle Feuille;;;BOULOGNE-BILLANCOURT;92100;92;CRR - Conservatoire à rayonnement régional;92;01 41 31 83 44;48.83801;2.243127;48.83801, 2.243127
CONSERVATOIRE DE MONTROUGE;6 rue Racine;;;MONTROUGE;92120;92;Ecole de musique et de danse municipale ou intercommunale;92;;48.811471;2.317801;48.811471, 2.317801
CONSERVATOIRE DE SURESNES - GEORGES GOURDET;1 place du Puits d'Amour;;;SURESNES;92150;92;CRC/CRI - Conservatoire à rayonnement communal;92;;48.86851;2.226229;48.86851, 2.226229
CONSERVATOIRE DE SÈVRES;8 avenue de la Cristallerie;;;SEVRES;92310;92;CRC/CRI - Conservatoire à rayonnement communal;92;01 45 34 73 60;48.82627;2.220999;48.82627, 2.220999
LA MONTGOLFIÈRE - CENTRE CULTUREL DE VAUCRESSON;Pavillon de musique Léonard de Vinci;10 rue de la Folie;;VAUCRESSON;92420;92;Ecole de musique et de danse municipale ou intercommunale;92;01 71 02 80 80;48.838708;2.154904;48.838708, 2.154904
CONSERVATOIRE DU BLANC-MESNIL;71 avenue Charles Floquet;;;LE BLANC-MESNIL;93150;93;CRD - Conservatoire à rayonnement départemental;93;01 48 65 50 53;48.939241;2.453057;48.939241, 2.453057
CONSERVATOIRE DE GAGNY - JOSEPH GOSSEC;41 avenue Jean Jaurès;;;GAGNY;93220;93;CRC/CRI - Conservatoire à rayonnement communal;93;01 43 02 49 19;48.883701;2.531034;48.883701, 2.531034
CONSERVATOIRE D'AUBERVILLIERS - LA COURNEUVE;13 rue Léopold Réchossière;;;AUBERVILLIERS;93300;93;CRR - Conservatoire à rayonnement régional;93;01 48 11 04 60;48.914622;2.39091;48.914622, 2.39091
CONSERVATOIRE DU BOURGET;30 rue Guynemer;;;LE BOURGET;93350;93;CRC/CRI - Conservatoire à rayonnement communal;93;01 48 37 91 83;48.938175;2.430082;48.938175, 2.430082
ECOLE MUNICIPALE DE MUSIQUE DE NEUILLY-PLAISANCE;12, rue du Général de Gaulle;;;NEUILLY-PLAISANCE;93360;93;Ecole de musique et de danse municipale ou intercommunale;93;;48.86133;2.506112;48.86133, 2.506112
ECOLE MUNICIPALE DE MUSIQUE DE L'ILE SAINT-DENIS;31 avenue Jean Jaurès;;;L'ILE-SAINT-DENIS;93450;93;Ecole de musique et de danse municipale ou intercommunale;93;;48.935148;2.338851;48.935148, 2.338851
CONSERVATOIRE DE SAINT-MAUR-DES-FOSSÉS;25 rue Krüger;;;SAINT-MAUR-DES-FOSSÉS;94100;94;CRR - Conservatoire à rayonnement régional;94;01 48 83 14 67;48.799058;2.491098;48.799058, 2.491098
CONSERVATOIRE DE FONTENAY-SOUS-BOIS - GUY DINOIRD;27 rue du Clos d'Orléans;;;FONTENAY-SOUS-BOIS;94120;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 71 33 58 26;48.843066;2.469537;48.843066, 2.469537
CONSERVATOIRE DE SAINT-MANDÉ - ROBERT LAMOUREUX;11 rue de Bérulle;;;SAINT-MANDE;94160;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 41 74 03 02;48.841335;2.415842;48.841335, 2.415842
CONSERVATOIRE DU PERREUX;62 avenue Georges Clémenceau;;;LE PERREUX-SUR-MARNE;94170;94;CRC/CRI - Conservatoire à rayonnement communal;94;;48.841342;2.504662;48.841342, 2.504662
CONSERVATOIRE DU VAL DE BIÈVRE - CACHAN;19 avenue Cousin de Méricourt;;;CACHAN;94230;94;CRD - Conservatoire à rayonnement départemental;94;01 46 36 38 97;48.798955;2.332673;48.798955, 2.332673
CONSERVATOIRE DU VAL DE BIÈVRE - LHA-LES-ROSES;3/5 rue Gabriel Péri;;;LHAY-LES-ROSES;94240;94;CRD - Conservatoire à rayonnement départemental;94;;48.780391;2.339136;48.780391, 2.339136
CONSERVATOIRE DE VILLENEUVE-LE-ROI - JEAN WIENER;8 rue Maurice Tinseau;;;VILLENEUVE-LE-ROI;94290;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 45 97 26 89;48.73556;2.41645;48.73556, 2.41645
ECOLE MUNICIPALE DES ARTS D'ORLY;2 rue Pasteur;Château du Parc Méliès;;ORLY;94310;94;Ecole de musique et de danse municipale ou intercommunale;94;;48.742349;2.391781;48.742349, 2.391781
ECOLE DE MUSIQUE ET D'ART DRAMATIQUE DE JOINVILLE-LE-PONT;12 ter Chemin d'Ile Fanac;;;JOINVILLE-LE-PONT;94340;94;Ecole de musique et de danse municipale ou intercommunale;94;;48.821124;2.467835;48.821124, 2.467835
ECOLE MUNICIPALE DE MUSIQUE DE BOISSY-SAINT-LÉGER;8 rue de l'Eglise;;;BOISSY-SAINT-LEGER;94470;94;Ecole de musique et de danse municipale ou intercommunale;94;;48.751535;2.510947;48.751535, 2.510947
CONSERVATOIRE DES ARTS DE CHOISY-LE-ROI;Rue du docteur Roux, La Tannerie;;;CHOISY-LE-ROI;94600;94;CRC/CRI - Conservatoire à rayonnement communal;94;01 55 53 51 50;48.771177;2.404979;48.771177, 2.404979
ECOLE MUNICIPALE DES ARTS ET DE LA MUSIQUE DE LE PLESSIS-BOUCHARD;Centre Culturel;5 bis rue Pierre Brossolette;;LE PLESSIS-BOUCHARD;95130;95;Ecole de musique et de danse municipale ou intercommunale;95;;49.001796;2.23476;49.001796, 2.23476
CONSERVATOIRE DE FRANCONVILLE;2 rue d'Ermont;;;FRANCONVILLE;95130;95;CRC/CRI - Conservatoire à rayonnement communal;95;01 39 32 68 43;48.983406;2.231228;48.983406, 2.231228
CONSERVATOIRE DE GARGES-LES-GONESSE;Maison des Arts Louis Aragon;14 rue Philibert Delorme;;GARGES-LES-GONESSE;95140;95;CRC/CRI - Conservatoire à rayonnement communal;95;01 34 53 31 15;48.968536;2.401899;48.968536, 2.401899
CONSERVATOIRE DE SARCELLES;2 avenue Paul Langevin;;;SARCELLES;95200;95;CRC/CRI - Conservatoire à rayonnement communal;95;01 39 90 14 94;48.982641;2.379194;48.982641, 2.379194
